user_id,item_id,action,price,created_at
2,97,click,131.75,2025-07-12T17:03:09.094492
129,96,view,139.42,2025-06-27T02:58:02.094492
103,53,view,195.66,2025-07-26T08:30:00.094492
127,26,view,177.65,2025-06-10T19:46:25.094492
158,21,view,192.92,2025-07-25T23:24:51.094492
2,9,view,39.84,2025-08-15T10:03:37.094492
125,54,view,106.82,2025-07-01T10:29:31.094492
9,18,view,19.47,2025-08-07T13:32:37.094492
200,8,view,130.23,2025-07-13T15:11:52.094492
157,62,view,164.32,2025-07-23T03:00:20.094492
126,74,view,179.44,2025-05-30T04:12:09.094492
97,4,click,148.16,2025-06-17T09:47:35.094492
73,12,view,5.28,2025-07-28T00:05:59.094492
117,9,view,108.4,2025-07-10T15:21:01.094492
18,38,view,44.33,2025-07-26T12:39:13.094492
88,60,view,23.59,2025-06-08T02:01:28.094492
118,44,view,33.16,2025-07-08T16:24:44.094492
126,63,view,118.72,2025-07-17T16:23:09.094492
167,87,view,138.23,2025-07-08T09:34:40.094492
191,75,view,140.7,2025-07-29T10:27:00.094492
71,14,view,181.99,2025-06-26T14:01:23.094492
200,84,view,142.69,2025-07-26T10:37:48.094492
70,69,view,46.59,2025-08-19T08:09:16.094492
64,22,view,168.95,2025-07-16T14:47:06.094492
102,9,click,34.17,2025-06-30T09:51:22.094492
62,38,view,33.68,2025-06-25T07:10:47.094492
49,39,view,93.46,2025-08-09T16:57:17.094492
9,95,view,130.59,2025-07-24T21:11:30.094492
151,25,cart,183.26,2025-06-23T09:04:22.094492
127,97,view,99.41,2025-07-23T09:20:06.094492
148,87,view,115.18,2025-06-21T10:28:04.094492
157,14,click,78.77,2025-06-11T15:07:45.094492
11,81,view,162.64,2025-08-11T15:52:06.094492
154,47,view,112.16,2025-07-05T03:33:07.094492
182,89,click,8.24,2025-08-13T23:16:07.094492
183,55,click,19.19,2025-07-01T11:44:20.094492
125,53,cart,165.47,2025-06-28T21:15:49.094492
85,64,view,29.32,2025-07-12T17:21:50.094492
113,98,cart,55.59,2025-07-05T00:13:47.094492
164,33,click,165.19,2025-07-31T17:54:59.094492
171,34,view,44.38,2025-08-14T11:10:12.094492
20,78,view,179.71,2025-07-11T04:26:39.094492
43,39,view,71.97,2025-07-31T06:29:26.094492
49,14,click,184.12,2025-07-06T04:31:24.094492
144,56,click,177.39,2025-06-07T05:25:47.094492
27,8,view,124.87,2025-07-16T02:21:11.094492
173,28,view,122.05,2025-08-14T19:36:40.094492
110,54,view,105.28,2025-08-05T14:18:03.094492
94,64,view,197.7,2025-06-06T01:05:35.094492
187,14,view,116.44,2025-08-09T17:10:10.094492
28,50,view,197.35,2025-06-22T05:17:18.094492
163,35,view,40.24,2025-07-30T23:21:34.094492
175,7,view,61.59,2025-07-02T22:59:47.094492
100,91,view,129.13,2025-07-05T13:07:07.094492
37,2,view,17.92,2025-07-16T06:43:36.094492
186,39,cart,59.21,2025-08-09T10:04:38.094492
143,62,view,139.85,2025-07-19T03:24:59.094492
50,43,click,124.72,2025-08-02T05:21:09.094492
20,53,view,180.44,2025-06-30T17:59:11.094492
112,95,view,8.08,2025-06-02T05:58:49.094492
36,93,view,69.66,2025-06-16T13:40:35.094492
31,7,view,128.7,2025-07-10T12:42:43.094492
80,53,view,192.18,2025-05-31T04:48:46.094492
120,72,view,20.28,2025-05-29T22:54:12.094492
80,7,click,155.53,2025-06-08T14:46:08.094492
48,42,view,47.38,2025-06-19T02:51:02.094492
